model,params,key,C,l1_ratio,accuracy,precision,recall,f1,time_min,alpha,fit_prior,norm,loss
Logistic Regression,"{'C': 0.1, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 0.1, ""l1_ratio"": 0.0}",0.1,0.0,0.7835412697437159,0.8061384020406483,0.8936422512086107,0.8476379996539194,0.1266565354833195,,,,
Logistic Regression,"{'C': 0.1, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 0.1, ""l1_ratio"": 1.0}",0.1,1.0,0.7691905844754471,0.8033842656901123,0.8704734105628021,0.8355843530416128,0.2911589592333257,,,,
Logistic Regression,"{'C': 1, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 1, ""l1_ratio"": 0.0}",1.0,0.0,0.8217687911007313,0.8536093325146917,0.8877132171850771,0.8703273117510284,0.2940800691666785,,,,
Logistic Regression,"{'C': 1, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 1, ""l1_ratio"": 1.0}",1.0,1.0,0.8252412267223895,0.8627529821739713,0.8807352002189182,0.8716513575120178,0.6945639776333337,,,,
Logistic Regression,"{'C': 2.5, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.5, ""l1_ratio"": 0.0}",2.5,0.0,0.8254563333538196,0.8604455094071708,0.8843838365410928,0.8722504610678782,0.3557584124166775,,,,
Logistic Regression,"{'C': 2.5, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.5, ""l1_ratio"": 1.0}",2.5,1.0,0.8299735726138529,0.8687632159085796,0.880689592264891,0.8746857518175435,0.8274074372666897,,,,
Logistic Regression,"{'C': 2.6, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.6, ""l1_ratio"": 0.0}",2.6,0.0,0.8258865466166799,0.8610765677740274,0.8842470126790112,0.8725079879393367,0.3032513169333469,,,,
Logistic Regression,"{'C': 2.6, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.6, ""l1_ratio"": 1.0}",2.6,1.0,0.8299428430950772,0.8688568856885689,0.8805071604487823,0.8746432292846464,0.8317030520166251,,,,
Logistic Regression,"{'C': 2.65, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.65, ""l1_ratio"": 0.0}",2.65,0.0,0.8258250875791285,0.8610963041933192,0.8841101888169297,0.8724515054682929,0.3214808400833135,,,,
Logistic Regression,"{'C': 2.65, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.65, ""l1_ratio"": 1.0}",2.65,1.0,0.8303423268391616,0.8691328023041267,0.8808264161269725,0.874940539561012,0.9176130126499628,,,,
Logistic Regression,"{'C': 2.7, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.7, ""l1_ratio"": 0.0}",2.7,0.0,0.8260094646917829,0.8612937622178781,0.8841557967709569,0.8725750551379574,0.5104457230166494,,,,
Logistic Regression,"{'C': 2.7, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.7, ""l1_ratio"": 1.0}",2.7,1.0,0.8302808678016103,0.869021372328459,0.8808720240809997,0.8749065706326018,0.8944866053499936,,,,
