model,params,key,C,l1_ratio,accuracy,precision,recall,f1,time_min,alpha,fit_prior,norm,loss
Logistic Regression,"{'C': 0.1, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 0.1, ""l1_ratio"": 0.0}",0.1,0.0,0.7835412697437159,0.8060880296174414,0.8937334671166651,0.8476511808980015,0.08641990851659405,,,,
Logistic Regression,"{'C': 0.1, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 0.1, ""l1_ratio"": 1.0}",0.1,1.0,0.7692827730317743,0.8034601784812258,0.8705190185168293,0.8356464252878596,0.19323050090000227,,,,
Logistic Regression,"{'C': 1, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 1, ""l1_ratio"": 0.0}",1.0,0.0,0.8218302501382828,0.8537152381787876,0.8876676092310499,0.8703604328772024,0.1591242329333909,,,,
Logistic Regression,"{'C': 1, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 1, ""l1_ratio"": 1.0}",1.0,1.0,0.8252412267223895,0.8628502480225231,0.8805983763568367,0.871633975125838,0.5040080061834791,,,,
Logistic Regression,"{'C': 2.5, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.5, ""l1_ratio"": 0.0}",2.5,0.0,0.8262860303607645,0.8612529414376415,0.884703092219283,0.8728205358950708,0.19457200691661758,,,,
Logistic Regression,"{'C': 2.5, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.5, ""l1_ratio"": 1.0}",2.5,1.0,0.829604818388544,0.8686591348967008,0.880187904770592,0.8743855197879619,0.7520434235166855,,,,
Logistic Regression,"{'C': 2.6, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.6, ""l1_ratio"": 0.0}",2.6,0.0,0.8263167598795403,0.8613874578077811,0.8845662683572015,0.8728230052652896,0.2071936164832247,,,,
Logistic Regression,"{'C': 2.6, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.6, ""l1_ratio"": 1.0}",2.6,1.0,0.8298199250199741,0.8686341551196689,0.8805983763568367,0.8745753499116727,0.7508227255668316,,,,
Logistic Regression,"{'C': 2.65, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.65, ""l1_ratio"": 0.0}",2.65,0.0,0.8264089484358675,0.8614701310237619,0.8846118763112287,0.8728876487927815,0.20957672659981957,,,,
Logistic Regression,"{'C': 2.65, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.65, ""l1_ratio"": 1.0}",2.65,1.0,0.8296970069448713,0.8686436864368644,0.8803703365867007,0.8744676995560388,0.7499272907664515,,,,
Logistic Regression,"{'C': 2.7, 'l1_ratio': 0.0}","Logistic Regression|{""C"": 2.7, ""l1_ratio"": 0.0}",2.7,0.0,0.8263167598795403,0.8613874578077811,0.8845662683572015,0.8728230052652896,0.2571535636166421,,,,
Logistic Regression,"{'C': 2.7, 'l1_ratio': 1.0}","Logistic Regression|{""C"": 2.7, ""l1_ratio"": 1.0}",2.7,1.0,0.8299121135763013,0.8690170651537665,0.8802335127246191,0.8745893281975756,0.765764680733264,,,,
